Class;Cause;Source;Target;Total;findbugsScary;findbugsBadPractice;findbugsStyle;findbugsAll;pmdPriority;pmdCodeSize;pmdDesign;pmdCoupling;pmdAll;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;Instability
AbstractLabelPattern;FALSE;TRUE;TRUE;TRUE;5;5;5;4;4;4;4;2;3;5;2;2;2;1;5;5;1
AbstractWorker;FALSE;FALSE;TRUE;TRUE;5;5;5;4;3;4;5;2;1;5;2;2;2;2;5;5;1
ACMPortalFetcher;TRUE;TRUE;FALSE;TRUE;5;5;5;4;5;5;5;5;5;5;5;5;5;3;5;5;5
ADSFetcher;FALSE;TRUE;FALSE;TRUE;5;5;5;4;5;4;4;4;4;5;5;5;4;3;5;5;5
ArgumentProcessor;TRUE;TRUE;FALSE;TRUE;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5
AutoCompletePreferences;TRUE;TRUE;TRUE;TRUE;5;5;5;4;4;4;4;2;3;5;4;4;3;3;5;5;1
AutoSaveManager;TRUE;TRUE;FALSE;TRUE;5;5;5;4;4;4;4;4;4;5;3;3;3;1;5;5;4
AutoSetLinks;TRUE;TRUE;FALSE;TRUE;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;4
BasePanel;TRUE;FALSE;TRUE;TRUE;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;3
BasePanelMode;FALSE;FALSE;TRUE;TRUE;5;5;5;4;3;4;4;2;1;5;2;2;2;4;5;5;1
BibDatabaseContext;FALSE;TRUE;FALSE;TRUE;5;5;5;4;4;4;5;4;4;5;2;2;2;1;5;5;1
BibDatabaseMode;FALSE;FALSE;TRUE;TRUE;5;5;5;4;3;4;4;2;2;5;2;2;2;2;5;5;1
BibDatabaseWriter;FALSE;TRUE;FALSE;TRUE;5;5;5;4;5;4;5;5;5;5;4;4;3;1;5;5;4
BibEntry;FALSE;TRUE;FALSE;TRUE;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;1
BibEntryWriter;FALSE;TRUE;FALSE;TRUE;5;5;5;5;5;5;5;5;5;5;4;4;3;2;5;5;3
BibtexImporter;FALSE;TRUE;FALSE;TRUE;5;5;5;4;4;4;4;4;4;5;4;4;3;3;5;5;3
BibtexParser;FALSE;TRUE;FALSE;TRUE;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;2
Change;TRUE;TRUE;FALSE;TRUE;5;5;5;4;4;4;4;2;2;5;2;2;2;2;5;5;2
ChangeScanner;TRUE;TRUE;FALSE;TRUE;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5
CiteSeerXFetcher;TRUE;TRUE;FALSE;TRUE;5;5;5;4;4;4;4;4;4;5;2;2;2;1;5;5;5
CleanupPreset;TRUE;TRUE;TRUE;TRUE;5;5;5;4;3;4;4;4;4;5;2;2;2;1;5;5;2
ConvertLegacyExplicitGroups;TRUE;TRUE;FALSE;TRUE;5;5;5;4;4;4;4;4;3;5;2;2;2;1;5;5;4
CountingUndoManager;TRUE;FALSE;TRUE;TRUE;5;5;5;4;3;4;5;2;2;5;4;4;3;3;5;5;1
CrossrefFetcherEvaluator;TRUE;TRUE;FALSE;TRUE;5;5;5;5;4;4;5;4;4;5;5;5;5;5;5;5;5
CustomEntryType;FALSE;FALSE;TRUE;TRUE;5;5;5;4;4;4;4;4;4;5;4;3;3;1;5;5;1
CustomEntryTypesManager;TRUE;TRUE;FALSE;TRUE;5;5;5;5;3;4;5;3;2;5;4;3;4;5;5;5;3
CustomExportList;TRUE;TRUE;TRUE;TRUE;5;5;5;4;3;4;4;4;4;5;2;2;2;1;5;5;3
